Date,Open,High,Low,Close,Promedio,Quantity,Volume,Name
2015-01-05,2.93,2.93,2.85,2.85,2.87,101936,292574.7,UNACEMC1
2015-01-06,2.85,2.85,2.8,2.8,2.83,326363,923690.43,UNACEMC1
2015-01-07,2.8,2.82,2.8,2.8,2.8,1234893,3457964.4,UNACEMC1
2015-01-08,2.81,2.81,2.8,2.8,2.81,42314,118783.95,UNACEMC1
2015-01-09,2.8,2.8,2.76,2.8,2.79,19927,55540.6,UNACEMC1
2015-01-12,2.76,2.76,2.76,2.76,2.76,138917,383450.92,UNACEMC1
2015-01-13,2.72,2.72,2.7,2.72,2.71,71553,194261.54,UNACEMC1
2015-01-14,2.65,2.65,2.6,2.6,2.6,2095250,5451250,UNACEMC1
2015-01-15,2.6,2.6,2.55,2.55,2.58,497250,1282850,UNACEMC1
2015-01-16,2.54,2.54,2.5,2.5,2.53,78518,198513.48,UNACEMC1
2015-01-19,2.51,2.52,2.51,2.52,2.51,92869,233219.88,UNACEMC1
2015-01-20,2.55,2.55,2.52,2.53,2.52,837362,2110382.24,UNACEMC1
2015-01-21,2.53,2.55,2.52,2.55,2.52,167145,421554.61,UNACEMC1
2015-01-22,2.56,2.6,2.55,2.6,2.59,477062,1236943.9,UNACEMC1
2015-01-23,2.56,2.62,2.56,2.62,2.62,597580,1565372.8,UNACEMC1
2015-01-26,2.62,2.64,2.62,2.64,2.64,21800,57476,UNACEMC1
2015-01-27,2.64,2.68,2.64,2.66,2.66,198672,527554.32,UNACEMC1
2015-01-28,2.66,2.7,2.66,2.69,2.7,1281297,3458531.1,UNACEMC1
2015-01-29,2.69,2.7,2.67,2.7,2.69,754061,2032039.75,UNACEMC1
2015-01-30,2.69,2.69,2.62,2.66,2.63,179157,471637.33,UNACEMC1
2015-02-02,2.58,2.58,2.54,2.54,2.57,318287,818048.98,UNACEMC1
2015-02-03,2.54,2.54,2.5,2.5,2.52,234534,591042.7,UNACEMC1
2015-02-04,2.5,2.55,2.5,2.55,2.51,251188,630270,UNACEMC1
2015-02-05,2.55,2.57,2.52,2.52,2.55,201905,514124.87,UNACEMC1
2015-02-06,2.51,2.51,2.51,2.51,2.51,154065,386703.15,UNACEMC1
2015-02-09,2.51,2.51,2.45,2.45,2.45,99132,243221.4,UNACEMC1
2015-02-10,2.46,2.46,2.46,2.46,2.46,175421,431535.66,UNACEMC1
